Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,279664,0,1.40769e+07,16.2951,16.2951,20.2882,16.2951,0.00964898,0,580335,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,198972,0,1.39793e+07,16.295,16.295,20.2882,16.295,0.00549596,0,330562,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,0,0,1.37579e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,300555,0,1.40923e+07,16.2953,16.2953,20.2882,16.2953,0.00830638,0,499568,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,421876,0,1.42392e+07,16.2952,16.2952,20.2882,16.2952,0.0145668,0,876109,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,498238,0,1.43317e+07,16.2945,16.2945,20.2882,16.2945,0.0185143,0,1.1137e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,365082,0,1.52842e+07,16.2942,16.2942,20.2882,16.2942,0.0116371,0,700072,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,547021,0,1.55045e+07,16.294,16.294,20.2882,16.294,0.0210365,0,1.26558e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,632592,0,1.22245e+07,16.2939,16.2939,20.2882,16.2939,0.0225813,0,1.35855e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,0,0,1.14998e+07,16.2939,16.2939,16.2939,16.2939,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,434007,0,1.19957e+07,16.295,16.295,20.2882,16.295,0.0151843,0,913266,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,142013,0,1.16514e+07,16.2949,16.2949,20.2882,16.2949,0.00236336,0,142151,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,0,0,1.14998e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,1.14998e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,1.14998e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,1.14998e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,1.14998e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.48716e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,0,0,1.48716e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,0,0,1.48716e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,0,0,1.48716e+07,16.2949,16.2949,16.2949,16.2949,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,150768,0,1.50398e+07,16.2952,16.2952,20.2882,16.2952,0.00427878,0,257339,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,70461.8,0,1.49478e+07,16.2952,16.2952,20.2882,16.2952,0.00142204,0,85526.1,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,81881.8,0,1.49617e+07,16.2951,16.2951,20.2882,16.2951,0.00200852,0,120802,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,59034.4,0,1.64071e+07,16.2951,16.2951,20.2882,16.2951,0.000835794,0,50269.4,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,115630,0,1.64756e+07,16.2949,16.2949,20.2882,16.2949,0.00374532,0,225271,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,180252,0,1.65435e+07,16.2948,16.2948,20.2882,16.2948,0.00453614,0,272848,0
