Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,59731,0,1.44995e+07,15.2429,15.2429,15.8988,15.2429,0.00218402,0,21582.3,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,0,0,1.44349e+07,15.2288,15.2288,15.2288,15.2288,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,0,0,1.44349e+07,15.2288,15.2288,15.2288,15.2288,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,53759.1,0,1.44918e+07,15.2199,15.2199,15.8988,15.2199,0.00140831,0,14404,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,97079.7,0,1.45475e+07,15.1687,15.1687,15.8988,15.1687,0.00703012,0,77331.1,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,165956,0,1.46219e+07,15.0772,15.0772,15.8988,15.0772,0.0094863,0,117430,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,80390.5,0,1.56398e+07,15.0061,15.0061,15.8988,15.0061,0.00486771,0,65472.1,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,253805,0,1.58352e+07,14.9223,14.9223,15.8988,14.9223,0.0148183,0,218013,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,301370,0,1.25245e+07,14.7986,14.7986,15.8988,14.7986,0.0209842,0,347860,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,0,0,1.21768e+07,14.7386,14.7386,14.7386,14.7386,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,181838,0,1.23906e+07,14.7216,14.7216,15.3187,14.7216,0.0145041,0,261005,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,0,0,1.21768e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,0,0,1.21768e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,1.21768e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,1.21768e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,1.21768e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,1.21768e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.55486e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,0,0,1.55486e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,0,0,1.55486e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,0,0,1.55486e+07,14.6729,14.6729,14.6729,14.6729,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,24678.2,0,1.55742e+07,14.6725,14.6725,15.2859,14.6725,0.000423488,0,7828.1,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,0,0,1.55486e+07,14.6712,14.6712,14.6712,14.6712,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,0,0,1.55486e+07,14.6712,14.6712,14.6712,14.6712,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,0,0,2.16487e+07,14.6712,14.6712,14.6712,14.6712,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,0,0,2.16487e+07,14.6712,14.6712,14.6712,14.6712,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,0,0,2.16487e+07,14.6712,14.6712,14.6712,14.6712,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,2.16487e+07,14.6712,14.6712,14.6712,14.6712,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,0,0,2.16487e+07,14.6712,14.6712,14.6712,14.6712,0,0,0,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,0,0,2.31243e+07,14.6712,14.6712,14.6712,14.6712,0,0,0,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.88735e+07,0,4.6807e+07,14.5548,14.5548,15.8988,14.5548,1.68163,0,3.40895e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.52265e+07,0,4.94856e+07,14.5743,14.5743,15.8988,14.5743,2.00768,0,4.00701e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.04083e+07,0,6.59724e+07,14.5743,14.5743,15.8988,14.5743,1.31917,0,2.63286e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,7.39788e+06,0,6.20602e+07,14.5743,14.5743,15.8988,14.5743,0.908882,0,1.814e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,5.2141e+06,0,5.92451e+07,14.5742,14.5742,15.8988,14.5742,0.621748,0,1.24093e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,4.15465e+06,0,5.78861e+07,14.5742,14.5742,15.8988,14.5742,0.48536,0,9.68725e+06,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,4.67138e+06,0,5.41519e+07,14.5742,14.5742,15.8988,14.5742,0.550584,0,1.09892e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,2.60564e+06,0,5.59194e+07,14.5742,14.5742,15.8988,14.5742,0.295665,0,5.90123e+06,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,1.85422e+06,0,5.49605e+07,14.5742,14.5742,15.8988,14.5742,0.201568,0,4.02317e+06,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,1.63593e+06,0,5.4682e+07,14.5742,14.5742,15.8988,14.5742,0.174322,0,3.47942e+06,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,1.47992e+06,0,5.44832e+07,14.5742,14.5742,15.8988,14.5742,0.154933,0,3.09247e+06,0
01/02/2009 18:00,1,2,5,18,0,0,75,4.10761e+06,0,4.06197e+07,14.5742,14.5742,15.8988,14.5742,0.480981,0,9.59984e+06,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,6.16749e+06,0,3.04359e+07,14.5741,14.5741,15.8988,14.5741,0.743961,0,1.48498e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,2.26312e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,1.96801e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,1.96801e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,1.70241e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,1.55486e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,2.16487e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,2.16487e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,2.16487e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,2.16487e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,2.16487e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,2.31243e+07,14.5741,14.5741,14.5741,14.5741,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,9.39621e+06,0,3.59877e+07,14.5528,14.5528,15.8988,14.5528,1.06951,0,2.17757e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,8.05845e+06,0,4.01004e+07,14.5742,14.5742,15.8988,14.5742,0.997941,0,1.99182e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,3.56762e+06,0,5.71494e+07,14.5742,14.5742,15.8988,14.5742,0.417383,0,8.33065e+06,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,1.23004e+06,0,5.41841e+07,14.5742,14.5742,15.8988,14.5742,0.132557,0,2.64575e+06,0
01/03/2009 11:00,1,3,6,11,0,-0.6,82,628493,0,5.34309e+07,14.5742,14.5742,15.8988,14.5742,0.0638347,0,1.27411e+06,0
01/03/2009 12:00,1,3,6,12,0,2.2,73,193261,0,5.28788e+07,14.5742,14.5742,15.8988,14.5742,0.0108289,0,216141,0
01/03/2009 13:00,1,3,6,13,0,3.9,57,490609,0,4.88536e+07,14.5742,14.5742,15.8988,14.5742,0.0431663,0,861565,0
01/03/2009 14:00,1,3,6,14,0,3.3,67,0,0,5.26616e+07,14.5742,14.5742,14.5742,14.5742,0,0,0,0
01/03/2009 15:00,1,3,6,15,0,3.9,65,0,0,5.26616e+07,14.5742,14.5742,14.5742,14.5742,0,0,0,0
01/03/2009 16:00,1,3,6,16,0,4.4,51,0,0,5.26616e+07,14.5742,14.5742,14.5742,14.5742,0,0,0,0
01/03/2009 17:00,1,3,6,17,0,3.3,55,0,0,5.26616e+07,14.5742,14.5742,14.5742,14.5742,0,0,0,0
01/03/2009 18:00,1,3,6,18,0,-1.1,78,608685,0,3.6194e+07,14.575,14.575,15.5677,14.575,0.0603618,0,1.20383e+06,0
01/03/2009 19:00,1,3,6,19,0,-3.9,85,2.37216e+06,0,2.55905e+07,14.5749,14.5749,15.8988,14.5749,0.266261,0,5.31155e+06,0
01/03/2009 20:00,1,3,6,20,0,-6.1,88,0,0,2.26312e+07,14.5742,14.5742,14.5742,14.5742,0,0,0,0
