Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,1.85977e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,1.85977e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,1.85977e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,1.85977e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,1.85977e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,1.85977e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,1.97114e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,15,38,0,0,1.63396e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,0,1.97114e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,0,1.97114e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,1.97114e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,1.97114e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,1.97114e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,1.97114e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,1.97114e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,2.79477e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,2.79477e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,2.79477e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,2.79477e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,2.79477e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,0,3.0184e+07,20.402,20.402,20.402,20.402,0,0,0,0
01/02/2009 07:00,1,2,5,7,0,1.7,82,3.32612e+06,0,3.51968e+07,16.4222,16.4222,20.402,16.4222,0.123727,0,6.74204e+06,0
01/02/2009 08:00,1,2,5,8,0,2.2,85,1.6109e+06,0,3.82927e+07,15.9146,15.9146,20.402,15.9146,0.055698,0,3.7639e+06,0
01/02/2009 09:00,1,2,5,9,0,5.6,73,0,320021,7.38391e+07,17.1056,17.1056,18.4756,17.1056,0.00946197,0,378196,0
01/02/2009 10:00,1,2,5,10,0,8.3,58,0,312335,7.38386e+07,20.1155,20.1155,20.1155,19.8917,0,0.0110228,0,74236
01/02/2009 11:00,1,2,5,11,0,10,54,0,1.58304e+06,7.5325e+07,25.1693,25.1693,25.1693,20.402,0,0.0578687,0,4.20947e+06
01/02/2009 12:00,1,2,5,12,0,12.2,53,0,2.15652e+06,7.60069e+07,27.2151,27.2151,27.2151,20.402,0,0.0814214,0,8.34431e+06
01/02/2009 13:00,1,2,5,13,0,13.9,53,0,2.06268e+06,6.95525e+07,27.4909,27.4909,27.4909,20.402,0,0.0774788,0,8.26365e+06
01/02/2009 14:00,1,2,5,14,0,13.3,57,0,2.77762e+06,7.67286e+07,27.5741,27.5741,27.5741,20.402,0,0.103233,0,1.11406e+07
01/02/2009 15:00,1,2,5,15,0,13.9,58,0,5.45311e+06,7.99051e+07,27.6293,27.6293,27.6293,20.402,0,0.211464,0,2.29956e+07
01/02/2009 16:00,1,2,5,16,0,13.3,62,0,5.29717e+06,7.97086e+07,27.7256,27.7256,27.7256,20.402,0,0.202702,0,2.23363e+07
01/02/2009 17:00,1,2,5,17,0,12.2,69,0,4.61495e+06,7.88938e+07,27.7978,27.7978,27.7978,20.402,0,0.174159,0,1.93803e+07
01/02/2009 18:00,1,2,5,18,0,11.1,80,0,849257,4.92849e+07,27.8381,27.8381,27.8381,20.402,0,0.0309551,0,3.46345e+06
