Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,1.2898e+06,0,9.43203e+06,19.1428,19.1428,20.8781,19.1428,0.136854,0,3.57512e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,1.12895e+06,0,9.2273e+06,19.1428,19.1428,20.8781,19.1428,0.117485,0,3.06912e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,755850,0,8.75337e+06,19.1428,19.1428,20.8781,19.1428,0.0729565,0,1.90588e+06,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,1.31813e+06,0,9.46778e+06,19.1428,19.1428,20.8781,19.1428,0.140165,0,3.66161e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.42089e+06,0,9.59852e+06,19.1428,19.1428,20.8781,19.1428,0.15254,0,3.98487e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.57158e+06,0,9.79051e+06,19.1428,19.1428,20.8781,19.1428,0.170788,0,4.46158e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.37514e+06,0,1.06539e+07,19.1428,19.1428,20.8781,19.1428,0.146972,0,3.83941e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.63654e+06,0,1.0987e+07,19.1428,19.1428,20.8781,19.1428,0.178646,0,4.66684e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.636e+06,0,7.61448e+06,19.1428,19.1428,20.8781,19.1428,0.178592,0,4.66543e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,578199,0,6.28022e+06,19.1428,19.1428,20.8781,19.1428,0.0564385,0,1.47437e+06,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,1.31257e+06,0,7.20286e+06,19.1429,19.1429,20.8781,19.1429,0.139577,0,3.6461e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,994844,0,6.79933e+06,19.1428,19.1428,20.8781,19.1428,0.101606,0,2.6543e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,644503,0,6.36447e+06,19.1428,19.1428,20.8781,19.1428,0.0643058,0,1.6799e+06,0
