Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.21764e+07,21.2571,21.2571,21.2571,21.2571,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,77869.6,0,1.22682e+07,21.258,21.258,22.2724,21.258,0.00788623,0,120398,0
01/01/2009 03:00,1,1,4,3,0,-4,77,131464,0,1.23291e+07,21.2598,21.2598,22.2724,21.2598,0.0120297,0,183332,0
01/01/2009 04:00,1,1,4,4,0,-2,78,68721.3,0,1.22556e+07,21.2612,21.2612,22.2724,21.2612,0.00597903,0,90991.6,0
01/01/2009 05:00,1,1,4,5,0,-2,85,352613,0,1.26178e+07,21.2638,21.2638,22.2724,21.2638,0.0500493,0,759684,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.21764e+07,21.2656,21.2656,21.2656,21.2656,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,243491,0,1.35814e+07,21.2669,21.2669,22.2724,21.2669,0.0269372,0,407641,0
01/01/2009 08:00,1,1,4,8,0,-1,100,173042,0,1.01256e+07,21.2685,21.2685,22.2724,21.2685,0.0193819,0,292830,0
01/01/2009 09:00,1,1,4,9,0,0,92,45232.9,0,9.31891e+06,21.269,21.269,22.2724,21.269,0.0010533,0,15905.8,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,9.91827e+06,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,9.00618e+06,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,9.24595e+06,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,9.31883e+06,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,9.48573e+06,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,9.91827e+06,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,9.91827e+06,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,9.79838e+06,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,0,0,1.32901e+07,21.2691,21.2691,21.2691,21.2691,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-2,71,56623.7,0,1.33527e+07,21.2693,21.2693,22.2724,21.2693,0.00343135,0,51804.3,0
01/01/2009 20:00,1,1,4,20,0,-4,71,596134,0,1.40676e+07,21.2676,21.2676,22.2724,21.2676,0.102194,0,1.54554e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,368258,0,1.37536e+07,21.2654,21.2654,22.2724,21.2654,0.0537284,0,814256,0
01/01/2009 22:00,1,1,4,22,0,-6,100,279530,0,1.36316e+07,21.2645,21.2645,22.2724,21.2645,0.0349761,0,530558,0
01/01/2009 23:00,1,1,4,23,0,-7,84,1.02179e+06,0,1.46391e+07,21.2605,21.2605,22.2724,21.2605,0.18499,0,2.81722e+06,0
01/02/2009 00:00,1,2,5,0,0,-7,84,1.16536e+06,0,1.48371e+07,21.2576,21.2576,22.2724,21.2576,0.216133,0,3.30097e+06,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,1.592e+07,21.2571,21.2571,21.2571,21.2571,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,1.592e+07,21.2571,21.2571,21.2571,21.2571,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,1.592e+07,21.2571,21.2571,21.2571,21.2571,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,368444,0,1.6384e+07,21.2571,21.2571,22.2724,21.2571,0.054033,0,825877,0
01/02/2009 05:00,1,2,5,5,0,-12,91,757531,0,1.69053e+07,21.2519,21.2519,22.2724,21.2519,0.1291,0,1.98271e+06,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.23738e+06,0,1.90619e+07,21.2439,21.2439,22.2724,21.2439,0.234854,0,3.63511e+06,0
01/02/2009 07:00,1,2,5,7,0,-14,83,2.45674e+07,0,4.99941e+07,21.3117,21.3117,22.2724,21.3117,3.92135,0,5.67591e+07,0
01/02/2009 08:00,1,2,5,8,0,-13,83,2.63839e+07,0,5.5235e+07,21.3256,21.3256,22.2724,21.3256,4.5603,0,6.49817e+07,0
01/02/2009 09:00,1,2,5,9,0,-11,84,1.48465e+07,0,6.06995e+07,21.3296,21.3296,22.2724,21.3296,3.36,0,4.76741e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,1.20461e+07,0,5.74567e+07,21.3384,21.3384,22.2724,21.3384,2.63553,0,3.70468e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,1.0615e+07,0,5.51725e+07,21.341,21.341,22.2724,21.341,2.28461,0,3.20243e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,8.16341e+06,0,4.91861e+07,21.3418,21.3418,22.2724,21.3418,1.70825,0,2.39246e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,8.62792e+06,0,4.64741e+07,21.3436,21.3436,22.2724,21.3436,1.81146,0,2.53206e+07,0
01/02/2009 14:00,1,2,5,14,0,-5,54,6.9657e+06,0,5.04975e+07,21.3442,21.3442,22.2724,21.3442,1.43419,0,2.00347e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,4.49231e+06,0,4.34922e+07,21.343,21.343,22.2724,21.343,0.898523,0,1.25684e+07,0
01/02/2009 16:00,1,2,5,16,0,-7,92,5.39244e+06,0,4.86867e+07,21.3412,21.3412,22.2724,21.3412,1.09221,0,1.53066e+07,0
01/02/2009 17:00,1,2,5,17,0,-8,92,4.57311e+06,0,4.6958e+07,21.3399,21.3399,22.2724,21.3399,0.915832,0,1.28534e+07,0
01/02/2009 18:00,1,2,5,18,0,-8,92,7.62991e+06,0,4.02918e+07,21.3377,21.3377,22.2724,21.3377,1.59351,0,2.24164e+07,0
01/02/2009 19:00,1,2,5,19,0,-9,84,9.5226e+06,0,3.35538e+07,21.3351,21.3351,22.2724,21.3351,2.0356,0,2.87149e+07,0
01/02/2009 20:00,1,2,5,20,0,-11,84,0,0,2.0446e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,-11,91,0,0,1.74643e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,1.74643e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,1.47809e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,1.32901e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,1.592e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,0,0,1.592e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,0,0,1.592e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-14,76,0,0,1.592e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-14,76,0,0,1.592e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-14,76,0,0,1.74108e+07,21.335,21.335,21.335,21.335,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-14,76,1.89589e+07,0,4.2926e+07,21.3155,21.3155,22.2724,21.3155,3.09219,0,4.4575e+07,0
01/03/2009 08:00,1,3,6,8,0,-17,83,1.55587e+07,0,4.26964e+07,21.3179,21.3179,22.2724,21.3179,3.58984,0,5.15677e+07,0
01/03/2009 09:00,1,3,6,9,0,-13,69,8.03493e+06,0,4.9188e+07,21.327,21.327,22.2724,21.327,1.71111,0,2.43459e+07,0
01/03/2009 10:00,1,3,6,10,0,-11,70,5.77159e+06,0,4.50465e+07,21.3327,21.3327,22.2724,21.3327,1.19073,0,1.684e+07,0
01/03/2009 11:00,1,3,6,11,0,-9,53,5.41242e+06,0,4.51293e+07,21.3376,21.3376,22.2724,21.3376,1.10217,0,1.55067e+07,0
01/03/2009 12:00,1,3,6,12,0,-8,49,4.63188e+06,0,4.42805e+07,21.341,21.341,22.2724,21.341,0.928962,0,1.30217e+07,0
01/03/2009 13:00,1,3,6,13,0,-7,41,4.2111e+06,0,4.02349e+07,21.3432,21.3432,22.2724,21.3432,0.839392,0,1.17381e+07,0
01/03/2009 14:00,1,3,6,14,0,-7.1,43,2.60776e+06,0,4.09329e+07,21.3444,21.3444,22.2724,21.3444,0.516362,0,7.21136e+06,0
01/03/2009 15:00,1,3,6,15,0,-7.8,48,1.92418e+06,0,3.99968e+07,21.3414,21.3414,22.2724,21.3414,0.373886,0,5.23889e+06,0
01/03/2009 16:00,1,3,6,16,0,-9,58,1.4891e+06,0,4.03816e+07,21.3373,21.3373,22.2724,21.3373,0.292745,0,4.11973e+06,0
01/03/2009 17:00,1,3,6,17,0,-9,58,1.62379e+06,0,4.31815e+07,21.3372,21.3372,22.2724,21.3372,0.310981,0,4.3771e+06,0
01/03/2009 18:00,1,3,6,18,0,-9,58,4.59094e+06,0,3.60781e+07,21.3384,21.3384,22.2724,21.3384,0.924728,0,1.29988e+07,0
01/03/2009 19:00,1,3,6,19,0,-9,58,6.43469e+06,0,2.92216e+07,21.337,21.337,22.2724,21.337,1.32752,0,1.8688e+07,0
01/03/2009 20:00,1,3,6,20,0,-9,53,0,0,2.0446e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,-8,58,0,0,1.74643e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,-9,70,0,0,1.74643e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-9,70,0,0,1.47809e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-9,70,0,0,1.32901e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-8,64,0,0,1.592e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-10,70,0,0,1.592e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-9,70,0,0,1.592e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-10,76,0,0,1.592e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-8,70,0,0,1.592e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-9.6,70,0,0,1.74108e+07,21.3366,21.3366,21.3366,21.3366,0,0,0,0
01/04/2009 07:00,1,4,0,7,0,-11,70,1.55495e+07,0,3.86118e+07,21.3231,21.3231,22.2724,21.3231,2.57691,0,3.6864e+07,0
01/04/2009 08:00,1,4,0,8,0,-8,64,1.21056e+07,0,3.76091e+07,21.3375,21.3375,22.2724,21.3375,2.66008,0,3.74274e+07,0
01/04/2009 09:00,1,4,0,9,0,-4,45,7.63864e+06,0,5.18162e+07,21.347,21.347,22.2724,21.347,1.59404,0,2.22015e+07,0
01/04/2009 10:00,1,4,0,10,0,-1,32,4.19737e+06,0,4.36642e+07,21.3542,21.3542,22.2724,21.3542,0.826358,0,1.14193e+07,0
01/04/2009 11:00,1,4,0,11,0,0,32,3.95921e+06,0,4.45456e+07,21.3565,21.3565,22.2724,21.3565,0.782356,0,1.0784e+07,0
01/04/2009 12:00,1,4,0,12,0,1,33,3.77249e+06,0,4.58478e+07,21.3584,21.3584,22.2724,21.3584,0.740655,0,1.01886e+07,0
01/04/2009 13:00,1,4,0,13,0,2,34,4.15935e+06,0,4.2506e+07,21.3603,21.3603,22.2724,21.3603,0.822628,0,1.12921e+07,0
01/04/2009 14:00,1,4,0,14,0,3,29,1.60582e+06,0,3.91809e+07,21.3626,21.3626,22.2724,21.3626,0.299002,0,4.09383e+06,0
01/04/2009 15:00,1,4,0,15,0,4,32,1.15973e+06,0,3.93022e+07,21.3638,21.3638,22.2724,21.3638,0.208086,0,2.84546e+06,0
01/04/2009 16:00,1,4,0,16,0,2,40,853289,0,3.98658e+07,21.3614,21.3614,22.2724,21.3614,0.155271,0,2.12893e+06,0
01/04/2009 17:00,1,4,0,17,0,1,43,764852,0,4.14145e+07,21.3586,21.3586,22.2724,21.3586,0.137371,0,1.88914e+06,0
01/04/2009 18:00,1,4,0,18,0,1,43,2.77322e+06,0,3.35667e+07,21.3589,21.3589,22.2724,21.3589,0.531066,0,7.30107e+06,0
01/04/2009 19:00,1,4,0,19,0,1,43,4.29131e+06,0,2.62208e+07,21.3579,21.3579,22.2724,21.3579,0.840639,0,1.15703e+07,0
01/04/2009 20:00,1,4,0,20,0,-1,55,0,0,2.0446e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/04/2009 21:00,1,4,0,21,0,-1,60,0,0,1.74643e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/04/2009 22:00,1,4,0,22,0,2,37,0,0,1.74643e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/04/2009 23:00,1,4,0,23,0,2,44,0,0,1.47809e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/05/2009 00:00,1,5,1,0,0,2,44,0,0,1.32901e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/05/2009 01:00,1,5,1,1,0,3,41,0,0,1.592e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/05/2009 02:00,1,5,1,2,0,3,41,0,0,1.592e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/05/2009 03:00,1,5,1,3,0,4,39,0,0,1.592e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/05/2009 04:00,1,5,1,4,0,5,39,0,0,1.592e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/05/2009 05:00,1,5,1,5,0,4,42,0,0,1.592e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/05/2009 06:00,1,5,1,6,0,2,44,0,0,1.74108e+07,21.3571,21.3571,21.3571,21.3571,0,0,0,0
01/05/2009 07:00,1,5,1,7,0,2,44,8.71766e+06,0,3.00919e+07,21.3481,21.3481,22.2724,21.3481,1.61705,0,2.25511e+07,0
01/05/2009 08:00,1,5,1,8,0,3,41,7.45083e+06,0,3.09575e+07,21.3608,21.3608,22.2724,21.3608,1.52582,0,2.09335e+07,0
01/05/2009 09:00,1,5,1,9,0,4,42,3.94929e+06,0,4.66853e+07,21.364,21.364,22.2724,21.364,0.77532,0,1.05994e+07,0
01/05/2009 10:00,1,5,1,10,0,5.9,36,2.63423e+06,0,4.48789e+07,21.3676,21.3676,22.2724,21.3676,0.496399,0,6.75936e+06,0
01/05/2009 11:00,1,5,1,11,0,7,34,968026,0,3.8074e+07,21.3695,21.3695,22.2724,21.3695,0.167899,0,2.28139e+06,0
01/05/2009 12:00,1,5,1,12,0,7,34,784379,0,3.93645e+07,21.3704,21.3704,22.2724,21.3704,0.130722,0,1.77448e+06,0
01/05/2009 13:00,1,5,1,13,0,7,34,955715,0,3.57844e+07,21.3708,21.3708,22.2724,21.3708,0.165022,0,2.23928e+06,0
01/05/2009 14:00,1,5,1,14,0,8,34,95338.5,0,3.78856e+07,21.3707,21.3707,22.2724,21.3707,0.0101477,0,137710,0
01/05/2009 15:00,1,5,1,15,0,8,32,0,0,3.74079e+07,21.3705,21.3705,21.3705,21.3705,0,0,0,0
01/05/2009 16:00,1,5,1,16,0,7,34,0,0,3.83718e+07,21.3705,21.3705,21.3705,21.3705,0,0,0,0
01/05/2009 17:00,1,5,1,17,0,6,33,0,0,4.04051e+07,21.3705,21.3705,21.3705,21.3705,0,0,0,0
01/05/2009 18:00,1,5,1,18,0,4,38,596874,0,3.06349e+07,21.3679,21.3679,22.2724,21.3679,0.103045,0,1.40313e+06,0
01/05/2009 19:00,1,5,1,19,0,3,41,1.28404e+06,0,2.21509e+07,21.3635,21.3635,22.2724,21.3635,0.236661,0,3.23739e+06,0
01/05/2009 20:00,1,5,1,20,0,2,44,0,0,2.0446e+07,21.3628,21.3628,21.3628,21.3628,0,0,0,0
01/05/2009 21:00,1,5,1,21,0,4,42,0,0,1.74643e+07,21.3628,21.3628,21.3628,21.3628,0,0,0,0
01/05/2009 22:00,1,5,1,22,0,-1,55,0,0,1.74643e+07,21.3628,21.3628,21.3628,21.3628,0,0,0,0
