Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,992934,0,1.04508e+07,16.5092,16.5092,21.0545,16.5092,0.0387607,0,2.65353e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,846513,0,1.02744e+07,16.5091,16.5091,21.0545,16.5091,0.0319578,0,2.18787e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,469760,0,9.82975e+06,16.5089,16.5089,21.0545,16.5089,0.0165212,0,1.13112e+06,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,1.02289e+06,0,1.04866e+07,16.5093,16.5093,21.0545,16.5093,0.0401048,0,2.7455e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.14805e+06,0,1.06372e+07,16.509,16.509,21.0545,16.509,0.0459109,0,3.14314e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.29567e+06,0,1.08151e+07,16.5088,16.5088,21.0545,16.5088,0.0527996,0,3.61493e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.10314e+06,0,1.16968e+07,16.5088,16.5088,21.0545,16.5088,0.0438067,0,2.99924e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.36572e+06,0,1.20132e+07,16.5088,16.5088,21.0545,16.5088,0.0560656,0,3.83855e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.36487e+06,0,8.64038e+06,16.5088,16.5088,21.0545,16.5088,0.056029,0,3.83604e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,395350,0,7.48211e+06,16.5088,16.5088,21.0545,16.5088,0.0130993,0,896849,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,1.0552e+06,0,8.26754e+06,16.5093,16.5093,21.0545,16.5093,0.0416299,0,2.84992e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,737328,0,7.89376e+06,16.5089,16.5089,21.0545,16.5089,0.0288908,0,1.97797e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,476797,0,7.5801e+06,16.5088,16.5088,21.0545,16.5088,0.0168371,0,1.15276e+06,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,7.02907e+06,16.5088,16.5088,16.5088,16.5088,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,7.02907e+06,16.5088,16.5088,16.5088,16.5088,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,7.02907e+06,16.5088,16.5088,16.5088,16.5088,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,7.02907e+06,16.5088,16.5088,16.5088,16.5088,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,64646.6,0,1.04691e+07,16.5088,16.5088,19.5393,16.5088,0.00080826,0,55337.1,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,175693,0,1.05977e+07,16.509,16.509,21.0545,16.509,0.00479874,0,328535,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,211191,0,1.06403e+07,16.5089,16.5089,21.0545,16.5089,0.00642097,0,439601,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,292787,0,1.07383e+07,16.5089,16.5089,21.0545,16.5089,0.0101616,0,695705,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,739474,0,1.12682e+07,16.5091,16.5091,21.0545,16.5091,0.0290118,0,1.98619e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,586867,0,1.10844e+07,16.5089,16.5089,21.0545,16.5089,0.0219325,0,1.50159e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,642225,0,1.1151e+07,16.5088,16.5088,21.0545,16.5088,0.0244906,0,1.67675e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,428851,0,1.40654e+07,16.5088,16.5088,21.0545,16.5088,0.0146425,0,1.00251e+06,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,608342,0,1.42814e+07,16.5088,16.5088,21.0545,16.5088,0.0229134,0,1.56878e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,602618,0,1.42745e+07,16.5088,16.5088,21.0545,16.5088,0.0226465,0,1.55051e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,38126.5,0,1.36109e+07,16.5088,16.5088,21.0545,16.5088,0.00017292,0,11839.1,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,448824,0,1.40894e+07,16.5109,16.5109,21.0545,16.5109,0.0155379,0,1.06333e+06,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,799070,0,1.509e+07,16.5113,16.5113,21.0545,16.5113,0.0297133,0,2.03322e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.91024e+07,0,3.7191e+07,16.8913,16.8913,21.0545,16.8913,0.646427,0,4.06932e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.96769e+07,0,4.09017e+07,16.954,16.954,21.0545,16.954,0.852615,0,5.26525e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.43978e+07,0,4.43312e+07,16.954,16.954,21.0545,16.954,0.690279,0,4.26277e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.18357e+07,0,4.117e+07,16.954,16.954,21.0545,16.954,0.552861,0,3.41417e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.86759e+06,0,3.87591e+07,16.954,16.954,21.0545,16.954,0.451397,0,2.7876e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.90704e+06,0,3.75869e+07,16.954,16.954,21.0545,16.954,0.402736,0,2.4871e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,9.1325e+06,0,3.58275e+07,16.9539,16.9539,21.0545,16.9539,0.413862,0,2.55583e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,7.22644e+06,0,3.55452e+07,16.9539,16.9539,21.0545,16.9539,0.319789,0,1.97489e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,6.35117e+06,0,3.44865e+07,16.9539,16.9539,21.0545,16.9539,0.277668,0,1.71477e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.98919e+06,0,3.40505e+07,16.9538,16.9538,21.0545,16.9538,0.260544,0,1.60905e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,5.7108e+06,0,3.3716e+07,16.9538,16.9538,21.0545,16.9538,0.247508,0,1.52856e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,7.80174e+06,0,2.90628e+07,16.9537,16.9537,21.0545,16.9537,0.347849,0,2.14827e+07,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,8.82233e+06,0,2.37832e+07,16.9537,16.9537,21.0545,16.9537,0.398279,0,2.45973e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,1.32234e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,1.20473e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,1.20473e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,1.09889e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,1.04009e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,1.3572e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,1.3572e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,1.3572e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,1.3572e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,1.3572e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,1.41601e+07,16.9537,16.9537,16.9537,16.9537,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,1.41184e+07,0,3.14795e+07,16.9054,16.9054,21.0545,16.9054,0.477824,0,2.9949e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,1.13167e+07,0,3.11213e+07,16.9539,16.9539,21.0545,16.9539,0.525895,0,3.24775e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,8.20125e+06,0,3.6734e+07,16.9539,16.9539,21.0545,16.9539,0.368184,0,2.27378e+07,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,5.59131e+06,0,3.35745e+07,16.9538,16.9538,21.0545,16.9538,0.242402,0,1.497e+07,0
01/03/2009 11:00,1,3,6,11,0,-0.6,82,4.54088e+06,0,3.23095e+07,16.9538,16.9538,21.0545,16.9538,0.193231,0,1.19334e+07,0
01/03/2009 12:00,1,3,6,12,0,2.2,73,3.09308e+06,0,3.05767e+07,16.9538,16.9538,21.0545,16.9538,0.127948,0,7.90179e+06,0
01/03/2009 13:00,1,3,6,13,0,3.9,57,4.10381e+06,0,2.97501e+07,16.9538,16.9538,21.0545,16.9538,0.172901,0,1.06781e+07,0
01/03/2009 14:00,1,3,6,14,0,3.3,67,2.62066e+06,0,3.00092e+07,16.9538,16.9538,21.0545,16.9538,0.105992,0,6.54587e+06,0
01/03/2009 15:00,1,3,6,15,0,3.9,65,2.45989e+06,0,2.9817e+07,16.9537,16.9537,21.0545,16.9537,0.0987258,0,6.09717e+06,0
01/03/2009 16:00,1,3,6,16,0,4.4,51,1.92207e+06,0,2.91824e+07,16.9537,16.9537,21.0545,16.9537,0.0766892,0,4.73625e+06,0
01/03/2009 17:00,1,3,6,17,0,3.3,55,1.39893e+06,0,2.85591e+07,16.9537,16.9537,21.0545,16.9537,0.0539675,0,3.33302e+06,0
01/03/2009 18:00,1,3,6,18,0,-1.1,78,4.30521e+06,0,2.4844e+07,16.9544,16.9544,21.0545,16.9544,0.181955,0,1.12355e+07,0
01/03/2009 19:00,1,3,6,19,0,-3.9,85,6.09929e+06,0,2.04844e+07,16.9535,16.9535,21.0545,16.9535,0.265827,0,1.64179e+07,0
