Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,122788,0,9.68933e+06,17.9539,17.9539,23.6407,17.9539,0.00214107,0,183334,0
01/01/2009 02:00,1,1,4,2,0,-3,77,518538,0,1.0156e+07,17.9813,17.9813,23.6407,17.9813,0.015434,0,1.3152e+06,0
01/01/2009 03:00,1,1,4,3,0,-4,77,610001,0,1.02668e+07,17.9937,17.9937,23.6407,17.9937,0.0191945,0,1.63209e+06,0
01/01/2009 04:00,1,1,4,4,0,-2,78,497344,0,1.01299e+07,18.0034,18.0034,23.6407,18.0034,0.0145425,0,1.2344e+06,0
01/01/2009 05:00,1,1,4,5,0,-2,85,904930,0,1.06246e+07,18.0113,18.0113,23.6407,18.0113,0.0311544,0,2.64075e+06,0
01/01/2009 06:00,1,1,4,6,0,-1,92,282156,0,9.87636e+06,18.0186,18.0186,23.6407,18.0186,0.00729756,0,617757,0
01/01/2009 07:00,1,1,4,7,0,-1,100,767391,0,1.15708e+07,18.0246,18.0246,23.6407,18.0246,0.0254725,0,2.154e+06,0
01/01/2009 08:00,1,1,4,8,0,-1,100,506781,0,7.8829e+06,18.0243,18.0243,23.6407,18.0243,0.0149381,0,1.26327e+06,0
01/01/2009 09:00,1,1,4,9,0,0,92,238398,0,7.24066e+06,18.0284,18.0284,23.6407,18.0284,0.0067656,0,571727,0
01/01/2009 10:00,1,1,4,10,0,2,80,186160,0,7.50787e+06,18.0379,18.0379,23.6407,18.0379,0.00463984,0,391427,0
01/01/2009 11:00,1,1,4,11,0,2,80,97934.9,0,6.93432e+06,18.0449,18.0449,23.6407,18.0449,0.00111719,0,94130.5,0
01/01/2009 12:00,1,1,4,12,0,1,79,214834,0,7.19882e+06,18.0462,18.0462,23.6407,18.0462,0.0058145,0,489798,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,6.99041e+06,18.0458,18.0458,18.0458,18.0458,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,115232,0,7.20064e+06,18.0469,18.0469,23.6407,18.0469,0.00181031,0,152465,0
01/01/2009 15:00,1,1,4,15,0,1,67,247748,0,7.58268e+06,18.0488,18.0488,23.6407,18.0488,0.00713103,0,600419,0
01/01/2009 16:00,1,1,4,16,0,1,67,145015,0,7.45802e+06,18.0517,18.0517,23.6407,18.0517,0.00300019,0,252480,0
01/01/2009 17:00,1,1,4,17,0,0,72,107045,0,7.35864e+06,18.0473,18.0473,23.6407,18.0473,0.00298503,0,251399,0
01/01/2009 18:00,1,1,4,18,0,-1,78,321572,0,1.1038e+07,18.0355,18.0355,23.6407,18.0355,0.00892155,0,752964,0
01/01/2009 19:00,1,1,4,19,0,-2,71,430080,0,1.117e+07,18.0271,18.0271,23.6407,18.0271,0.0133149,0,1.12545e+06,0
01/01/2009 20:00,1,1,4,20,0,-4,71,1.15413e+06,0,1.20438e+07,18.0017,18.0017,23.6407,18.0017,0.0416145,0,3.53341e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,839980,0,1.16613e+07,17.9856,17.9856,23.6407,17.9856,0.0286942,0,2.44334e+06,0
01/01/2009 22:00,1,1,4,22,0,-6,100,721191,0,1.1517e+07,17.9759,17.9759,23.6407,17.9759,0.0238581,0,2.03501e+06,0
01/01/2009 23:00,1,1,4,23,0,-7,84,1.56619e+06,0,1.25472e+07,17.9534,17.9534,23.6407,17.9534,0.0591291,0,5.06356e+06,0
01/02/2009 00:00,1,2,5,0,0,-7,84,1.66158e+06,0,1.26636e+07,17.9472,17.9472,23.6407,17.9472,0.0631605,0,5.41469e+06,0
01/02/2009 01:00,1,2,5,1,0,-9,84,60648.2,0,1.33646e+07,17.9497,17.9497,23.6407,17.9497,0.000982412,0,84185.1,0
01/02/2009 02:00,1,2,5,2,0,-10,91,155027,0,1.34659e+07,17.9563,17.9563,23.6407,17.9563,0.00227038,0,194328,0
01/02/2009 03:00,1,2,5,3,0,-10,91,206031,0,1.3528e+07,17.9607,17.9607,23.6407,17.9607,0.00434549,0,371652,0
