Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,470188,0,1.27979e+07,14.5261,14.5261,17.0381,14.5261,0.0271666,0,1.02829e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,354202,0,1.26543e+07,14.526,14.526,17.0381,14.526,0.0179989,0,681306,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,64563.8,0,1.23165e+07,14.5259,14.5259,17.0381,14.5259,0.00201273,0,76190.7,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,446251,0,1.27682e+07,14.5262,14.5262,17.0381,14.5262,0.0252534,0,955810,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,533255,0,1.2876e+07,14.5262,14.5262,17.0381,14.5262,0.0321554,0,1.21706e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,692046,0,1.30608e+07,14.5258,14.5258,17.0381,14.5258,0.0407879,0,1.54402e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,478083,0,1.39214e+07,14.5257,14.5257,17.0381,14.5257,0.0277809,0,1.0517e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,785520,0,1.42902e+07,14.5257,14.5257,17.0381,14.5257,0.0481669,0,1.82346e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,802752,0,1.09397e+07,14.5256,14.5256,17.0381,14.5256,0.0495313,0,1.87515e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,0,0,9.98773e+06,14.5256,14.5256,14.5256,14.5256,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,552974,0,1.06423e+07,14.5263,14.5263,17.0381,14.5263,0.0337048,0,1.27565e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,341393,0,1.03803e+07,14.5261,14.5261,17.0381,14.5261,0.016977,0,642599,0
