Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,401176,0,1.2865e+07,16.586,16.586,18.7797,16.586,0.0250133,0,826426,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,291988,0,1.27288e+07,16.586,16.586,18.7797,16.586,0.0150167,0,496165,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,48596.9,0,1.2447e+07,16.5859,16.5859,18.7797,16.5859,0.000831464,0,27473.3,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,375966,0,1.28335e+07,16.5863,16.5863,18.7797,16.5863,0.0226761,0,749134,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,476385,0,1.2959e+07,16.5863,16.5863,18.7797,16.5863,0.0319062,0,1.05406e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,557348,0,1.30601e+07,16.5859,16.5859,18.7797,16.5859,0.039359,0,1.30052e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,416917,0,1.39984e+07,16.5857,16.5857,18.7797,16.5857,0.0264459,0,873906,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,681674,0,1.43163e+07,16.5857,16.5857,18.7797,16.5857,0.0460903,0,1.52305e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,712279,0,1.09827e+07,16.5856,16.5856,18.7797,16.5856,0.0488936,0,1.61572e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,0,0,1.01381e+07,16.5856,16.5856,16.5856,16.5856,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,483022,0,1.07091e+07,16.5863,16.5863,18.7797,16.5863,0.0324985,0,1.07359e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,279723,0,1.04554e+07,16.5861,16.5861,18.7797,16.5861,0.0138834,0,458683,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,0,0,1.01381e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,1.01381e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,1.01381e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,1.01381e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,1.01381e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.35099e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,0,0,1.35099e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,0,0,1.35099e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,0,0,1.35099e+07,16.586,16.586,16.586,16.586,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,226602,0,1.37717e+07,16.5863,16.5863,18.7797,16.5863,0.0129957,0,429325,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,134121,0,1.36564e+07,16.5862,16.5862,18.7797,16.5862,0.00455683,0,150546,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,156141,0,1.36838e+07,16.5861,16.5861,18.7797,16.5861,0.00656523,0,216906,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,0,0,2.29206e+07,16.5861,16.5861,16.5861,16.5861,0,0,0,0
