Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,1.03717e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,1.03717e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,1.03717e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,1.03717e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,1.03717e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,1.03717e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,1.14854e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,15,38,0,0,8.11364e+06,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,0,1.14854e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,0,1.14854e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,1.14854e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,1.14854e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,1.14854e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,1.14854e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,1.14854e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,1.52454e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,1.52454e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,1.52454e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,1.52454e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,1.52454e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,0,1.60257e+07,16.182,16.182,16.182,16.182,0,0,0,0
01/02/2009 07:00,1,2,5,7,0,1.7,82,9.38039e+06,0,2.82444e+07,13.7487,13.7487,16.182,13.7487,0.566865,0,2.01816e+07,0
01/02/2009 08:00,1,2,5,8,0,2.2,85,5.91475e+06,0,2.38741e+07,13.7374,13.7374,16.182,13.7374,0.403324,0,1.48597e+07,0
01/02/2009 09:00,1,2,5,9,0,5.6,73,2.35715e+06,0,3.51761e+07,13.7374,13.7374,16.182,13.7374,0.15502,0,5.71141e+06,0
01/02/2009 10:00,1,2,5,10,0,8.3,58,1.38315e+06,0,3.39909e+07,13.7374,13.7374,16.182,13.7374,0.085887,0,3.16437e+06,0
01/02/2009 11:00,1,2,5,11,0,10,54,791596,0,3.32828e+07,13.7374,13.7374,16.182,13.7374,0.0477034,0,1.75757e+06,0
01/02/2009 12:00,1,2,5,12,0,12.2,53,375224,0,3.27794e+07,13.7374,13.7374,16.182,13.7374,0.0192253,0,708334,0
01/02/2009 13:00,1,2,5,13,0,13.9,53,510304,0,3.04015e+07,13.7373,13.7373,16.182,13.7373,0.0265034,0,976495,0
01/02/2009 14:00,1,2,5,14,0,13.3,57,0,0,3.23458e+07,13.7373,13.7373,13.7373,13.7373,0,0,0,0
01/02/2009 15:00,1,2,5,15,0,13.9,58,0,269237,3.26696e+07,15.0964,15.0964,15.7718,15.0176,0.0135151,0.00450762,221308,26749.9
01/02/2009 16:00,1,2,5,16,0,13.3,62,0,0,3.23458e+07,16.8758,16.8758,16.8758,16.8758,0,0,0,0
01/02/2009 17:00,1,2,5,17,0,12.2,69,0,0,3.23458e+07,16.8758,16.8758,16.8758,16.8758,0,0,0,0
01/02/2009 18:00,1,2,5,18,0,11.1,80,849404,0,2.40716e+07,15.4104,15.4104,16.2931,15.2992,0.0450846,0.00510971,748927,34214.7
01/02/2009 19:00,1,2,5,19,0,10.6,83,1.78136e+06,0,1.735e+07,13.8922,13.8922,16.182,13.8922,0.110831,0,3.84625e+06,0
01/02/2009 20:00,1,2,5,20,0,10.6,86,0,0,1.52306e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,11.7,83,0,0,1.36701e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,11.7,90,0,0,1.36701e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,12.2,86,0,0,1.22657e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,11.7,90,0,0,1.14854e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,11.7,93,0,0,1.52454e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,11.7,96,0,0,1.52454e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,12.8,93,0,0,1.52454e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,13.3,93,0,0,1.52454e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,13.9,97,0,0,1.52454e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,14.4,97,0,0,1.60257e+07,13.7494,13.7494,13.7494,13.7494,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,15,90,2.06867e+06,0,1.9613e+07,13.7061,13.7061,16.182,13.7061,0.132793,0,4.94873e+06,0
01/03/2009 08:00,1,3,6,8,0,15.6,87,1.14239e+06,0,1.80751e+07,13.7346,13.7346,16.182,13.7346,0.0655767,0,2.41882e+06,0
01/03/2009 09:00,1,3,6,9,0,15,81,0,0,3.23458e+07,13.7365,13.7365,13.7365,13.7365,0,0,0,0
01/03/2009 10:00,1,3,6,10,0,12.2,67,0,0,3.23458e+07,13.7365,13.7365,13.7365,13.7365,0,0,0,0
01/03/2009 11:00,1,3,6,11,0,12.2,57,0,0,3.23458e+07,13.7365,13.7365,13.7365,13.7365,0,0,0,0
01/03/2009 12:00,1,3,6,12,0,13.9,55,0,900533,3.34488e+07,17.4392,17.4392,17.8075,14.5515,0.0443682,0.0224879,246024,1.95516e+06
01/03/2009 13:00,1,3,6,13,0,13.3,57,0,0,2.98106e+07,20.0593,20.0593,20.0593,20.0593,0,0,0,0
01/03/2009 14:00,1,3,6,14,0,11.1,64,0,0,3.23458e+07,20.0593,20.0593,20.0593,20.0593,0,0,0,0
01/03/2009 15:00,1,3,6,15,0,9.4,74,0,0,3.23458e+07,20.0593,20.0593,20.0593,20.0593,0,0,0,0
01/03/2009 16:00,1,3,6,16,0,8.9,80,0,0,3.23458e+07,20.0593,20.0593,20.0593,20.0593,0,0,0,0
01/03/2009 17:00,1,3,6,17,0,8.9,80,0,0,3.23458e+07,20.0593,20.0593,20.0593,20.0593,0,0,0,0
01/03/2009 18:00,1,3,6,18,0,8.3,80,15816.6,0,2.30853e+07,20.057,20.057,20.057,18.7669,0,6.47642e-05,0,3772.89
01/03/2009 19:00,1,3,6,19,0,8.3,71,744508,0,1.60981e+07,17.2628,17.2628,17.3884,16.0564,0.0142353,0.0260258,80794.8,683740
01/03/2009 20:00,1,3,6,20,0,8.3,68,0,0,1.52306e+07,15.346,15.346,15.346,15.346,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,8.3,68,0,0,1.36701e+07,15.346,15.346,15.346,15.346,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,8.3,66,0,0,1.36701e+07,15.346,15.346,15.346,15.346,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,7.8,63,0,0,1.22657e+07,15.346,15.346,15.346,15.346,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,7.2,66,0,0,1.14854e+07,15.346,15.346,15.346,15.346,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,6.7,68,0,0,1.52454e+07,15.346,15.346,15.346,15.346,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,7.2,66,0,0,1.52454e+07,15.346,15.346,15.346,15.346,0,0,0,0
