Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,642914,0,1.20827e+07,15.9574,15.9574,21.7634,15.9574,0.0188113,0,1.64519e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,517349,0,1.19326e+07,15.9574,15.9574,21.7634,15.9574,0.0142391,0,1.24532e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,203442,0,1.1566e+07,15.9574,15.9574,21.7634,15.9574,0.00441669,0,386276,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,624059,0,1.20601e+07,15.9575,15.9575,21.7634,15.9575,0.0181184,0,1.58459e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,799639,0,1.22602e+07,15.9577,15.9577,21.7634,15.9577,0.0227125,0,1.98628e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,941950,0,1.24302e+07,15.9576,15.9576,21.7634,15.9576,0.0278975,0,2.43977e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,750625,0,1.33153e+07,15.9574,15.9574,21.7634,15.9574,0.0209245,0,1.83e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.02135e+06,0,1.36387e+07,15.9574,15.9574,21.7634,15.9574,0.0307843,0,2.69233e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.02491e+06,0,1.02712e+07,15.9574,15.9574,21.7634,15.9574,0.0309149,0,2.70375e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,141994,0,9.23386e+06,15.9574,15.9574,21.7634,15.9574,0.00206328,0,180450,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,751570,0,9.94954e+06,15.9577,15.9577,21.7634,15.9577,0.021863,0,1.91199e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,509878,0,9.66555e+06,15.9579,15.9579,21.7634,15.9579,0.013963,0,1.22107e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,240060,0,9.34347e+06,15.9576,15.9576,21.7634,15.9576,0.00420883,0,368079,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,9.08085e+06,15.9576,15.9576,15.9576,15.9576,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,9.08085e+06,15.9576,15.9576,15.9576,15.9576,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,9.08085e+06,15.9576,15.9576,15.9576,15.9576,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,9.08085e+06,15.9576,15.9576,15.9576,15.9576,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.24526e+07,15.9576,15.9576,15.9576,15.9576,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,0,0,1.24526e+07,15.9576,15.9576,15.9576,15.9576,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,0,0,1.24526e+07,15.9576,15.9576,15.9576,15.9576,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,71023.1,0,1.253e+07,15.9576,15.9576,21.7634,15.9576,0.00117234,0,102526,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,462171,0,1.29845e+07,15.9577,15.9577,21.7634,15.9577,0.0130164,0,1.13832e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,345504,0,1.28411e+07,15.9576,15.9576,21.7634,15.9576,0.00802091,0,701465,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,396866,0,1.29024e+07,15.9575,15.9575,21.7634,15.9575,0.00987825,0,863916,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,158252,0,1.61104e+07,15.9575,15.9575,21.7634,15.9575,0.00279094,0,244088,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,338265,0,1.6317e+07,15.9575,15.9575,21.7634,15.9575,0.00775533,0,678250,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,345074,0,1.63251e+07,15.9575,15.9575,21.7634,15.9575,0.00799967,0,699616,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,1.59372e+07,15.9575,15.9575,15.9575,15.9575,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,90108.1,0,1.60373e+07,15.9587,15.9587,21.7634,15.9587,0.00185135,0,161880,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,405473,0,1.74972e+07,15.96,15.96,21.7634,15.96,0.0101744,0,889438,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.8723e+07,0,3.95761e+07,16.4424,16.4424,21.7634,16.4424,0.509241,0,4.10332e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.68853e+07,0,4.26194e+07,16.5188,16.5188,21.7634,16.5188,0.640691,0,5.06096e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.30978e+07,0,5.28354e+07,16.5188,16.5188,21.7634,16.5188,0.480793,0,3.7979e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.03358e+07,0,4.94818e+07,16.5188,16.5188,21.7634,16.5188,0.36941,0,2.91808e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,8.28481e+06,0,4.70073e+07,16.5188,16.5188,21.7634,16.5188,0.289734,0,2.28871e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,7.27641e+06,0,4.57951e+07,16.5187,16.5187,21.7634,16.5187,0.2513,0,1.98512e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,7.58173e+06,0,4.30409e+07,16.5187,16.5187,21.7634,16.5187,0.262675,0,2.07498e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,5.54891e+06,0,4.37264e+07,16.5187,16.5187,21.7634,16.5187,0.187004,0,1.47723e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,4.63003e+06,0,4.26301e+07,16.5187,16.5187,21.7634,16.5187,0.153586,0,1.21325e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,4.24574e+06,0,4.21735e+07,16.5186,16.5186,21.7634,16.5186,0.139883,0,1.10503e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,3.94848e+06,0,4.18211e+07,16.5185,16.5185,21.7634,16.5185,0.129398,0,1.02221e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,6.37505e+06,0,3.40427e+07,16.5184,16.5184,21.7634,16.5184,0.217473,0,1.718e+07,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,7.67884e+06,0,2.68272e+07,16.5184,16.5184,21.7634,16.5184,0.266308,0,2.1038e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,1.77323e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,1.55325e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,1.55325e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,1.35526e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,1.24526e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,1.59372e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,1.59372e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,1.59372e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,1.59372e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,1.59372e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,1.70371e+07,16.5184,16.5184,16.5184,16.5184,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,1.27002e+07,0,3.27008e+07,16.4471,16.4471,21.7634,16.4471,0.347561,0,2.791e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,1.00728e+07,0,3.43152e+07,16.5186,16.5186,21.7634,16.5186,0.359288,0,2.83822e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,6.50271e+06,0,4.48735e+07,16.5186,16.5186,21.7634,16.5186,0.222996,0,1.76156e+07,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,3.7957e+06,0,4.16413e+07,16.5186,16.5186,21.7634,16.5186,0.124282,0,9.81775e+06,0
01/03/2009 11:00,1,3,6,11,0,-0.6,82,2.7314e+06,0,4.03848e+07,16.5186,16.5186,21.7634,16.5186,0.0881646,0,6.96466e+06,0
01/03/2009 12:00,1,3,6,12,0,2.2,73,1.69401e+06,0,3.91639e+07,16.5186,16.5186,21.7634,16.5186,0.0537902,0,4.24925e+06,0
01/03/2009 13:00,1,3,6,13,0,3.9,57,2.36461e+06,0,3.68233e+07,16.5189,16.5189,21.7634,16.5189,0.074078,0,5.85153e+06,0
01/03/2009 14:00,1,3,6,14,0,3.3,67,1.22804e+06,0,3.86103e+07,16.5185,16.5185,21.7634,16.5185,0.0373978,0,2.95432e+06,0
01/03/2009 15:00,1,3,6,15,0,3.9,65,1.00151e+06,0,3.83418e+07,16.5185,16.5185,21.7634,16.5185,0.0295645,0,2.33553e+06,0
01/03/2009 16:00,1,3,6,16,0,4.4,51,723487,0,3.80126e+07,16.5184,16.5184,21.7634,16.5184,0.0200476,0,1.58373e+06,0
01/03/2009 17:00,1,3,6,17,0,3.3,55,489575,0,3.77443e+07,16.5184,16.5184,21.7634,16.5184,0.0136498,0,1.07833e+06,0
01/03/2009 18:00,1,3,6,18,0,-1.1,78,2.66952e+06,0,2.96378e+07,16.5248,16.5248,21.7634,16.5248,0.0856709,0,6.75976e+06,0
01/03/2009 19:00,1,3,6,19,0,-3.9,85,4.56879e+06,0,2.31095e+07,16.519,16.519,21.7634,16.519,0.151591,0,1.1974e+07,0
01/03/2009 20:00,1,3,6,20,0,-6.1,88,0,0,1.77323e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,-7.2,96,0,0,1.55325e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,-6.7,92,0,0,1.55325e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-7.2,88,0,0,1.35526e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-10,92,0,0,1.24526e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-7.8,88,0,0,1.59372e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-7.8,88,0,0,1.59372e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-7.2,92,0,0,1.59372e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-6.7,84,0,0,1.59372e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-6.1,78,0,0,1.59372e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-6.1,78,0,0,1.70371e+07,16.5182,16.5182,16.5182,16.5182,0,0,0,0
01/04/2009 07:00,1,4,0,7,0,-7.2,77,1.41028e+07,0,3.43318e+07,16.4579,16.4579,21.7634,16.4579,0.390075,0,3.12587e+07,0
01/04/2009 08:00,1,4,0,8,0,-6.7,78,9.57918e+06,0,3.37232e+07,16.5186,16.5186,21.7634,16.5186,0.34051,0,2.6899e+07,0
01/04/2009 09:00,1,4,0,9,0,-6.7,74,6.24237e+06,0,4.45678e+07,16.5186,16.5186,21.7634,16.5186,0.214164,0,1.69179e+07,0
01/04/2009 10:00,1,4,0,10,0,-6.7,74,4.27542e+06,0,4.22244e+07,16.5186,16.5186,21.7634,16.5186,0.143499,0,1.13357e+07,0
01/04/2009 11:00,1,4,0,11,0,-6.1,74,3.91995e+06,0,4.17992e+07,16.5186,16.5186,21.7634,16.5186,0.13046,0,1.03057e+07,0
01/04/2009 12:00,1,4,0,12,0,-6.7,74,2.80103e+06,0,4.04673e+07,16.5186,16.5186,21.7634,16.5186,0.0905191,0,7.15063e+06,0
