Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,877474,0,22.6075,22.6075,24.505,22.6075,0.0805404,0,2.29973e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,745167,0,22.6075,22.6075,24.505,22.6075,0.0656574,0,1.87479e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,401779,0,22.6074,22.6074,24.505,22.6074,0.0321469,0,917964,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,902910,0,22.6076,22.6076,24.505,22.6076,0.0832804,0,2.37783e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.03606e+06,0,22.6075,22.6075,24.505,22.6075,0.0982093,0,2.80422e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.17495e+06,0,22.6074,22.6074,24.505,22.6074,0.113881,0,3.25193e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,987406,0,22.6074,22.6074,24.505,22.6074,0.0927076,0,2.64732e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.24659e+06,0,22.6074,22.6074,24.505,22.6074,0.121957,0,3.48256e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.24604e+06,0,22.6074,22.6074,24.505,22.6074,0.1219,0,3.48093e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,330925,0,22.6074,22.6074,24.505,22.6074,0.0242601,0,692762,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,965450,0,22.6075,22.6075,24.505,22.6075,0.090362,0,2.58016e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,678589,0,22.6074,22.6074,24.505,22.6074,0.063108,0,1.80205e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,419884,0,22.6074,22.6074,24.505,22.6074,0.0341455,0,975044,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,22.6074,22.6074,22.6074,22.6074,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,22.6074,22.6074,22.6074,22.6074,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,22.6074,22.6074,22.6074,22.6074,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,22.6074,22.6074,22.6074,22.6074,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,22.6074,22.6074,22.6074,22.6074,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101901,0,22.6074,22.6074,24.505,22.6074,0.00529245,0,151127,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,158265,0,22.6074,22.6074,24.505,22.6074,0.00941874,0,268955,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,244974,0,22.6074,22.6074,24.505,22.6074,0.0190351,0,543556,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,664487,0,22.6075,22.6075,24.505,22.6075,0.0615718,0,1.75808e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,515944,0,22.6074,22.6074,24.505,22.6074,0.0449069,0,1.2823e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,568039,0,22.6074,22.6074,24.505,22.6074,0.0507332,0,1.44871e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,394605,0,22.6074,22.6074,24.505,22.6074,0.0313554,0,895375,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,574115,0,22.6074,22.6074,24.505,22.6074,0.0513955,0,1.46764e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,570445,0,22.6074,22.6074,24.505,22.6074,0.0509797,0,1.45576e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,22.6074,22.6074,22.6074,22.6074,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,420324,0,22.6082,22.6082,24.505,22.6082,0.0341624,0,975092,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,743195,0,22.6084,22.6084,24.505,22.6084,0.0653287,0,1.86448e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.85634e+07,0,22.7617,22.7617,24.505,22.7617,1.53904,0,4.05558e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.77393e+07,0,22.7874,22.7874,24.505,22.7874,2.03005,0,5.24694e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.38216e+07,0,22.7874,22.7874,24.505,22.7874,1.59197,0,4.11467e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.12493e+07,0,22.7874,22.7874,24.505,22.7874,1.26263,0,3.26346e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.3962e+06,0,22.7874,22.7874,24.505,22.7874,1.03394,0,2.6724e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.47156e+06,0,22.7874,22.7874,24.505,22.7874,0.921874,0,2.38275e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,8.68976e+06,0,22.7873,22.7873,24.505,22.7873,0.947715,0,2.44956e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,6.82139e+06,0,22.7873,22.7873,24.505,22.7873,0.726692,0,1.87829e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,5.94619e+06,0,22.7873,22.7873,24.505,22.7873,0.625625,0,1.61706e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.54847e+06,0,22.7873,22.7873,24.505,22.7873,0.580576,0,1.50066e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,5.18256e+06,0,22.7873,22.7873,24.505,22.7873,0.539424,0,1.3943e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,7.19879e+06,0,22.7873,22.7873,24.505,22.7873,0.770929,0,1.99272e+07,0
